[2025-11-11 21:37:52] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893472}
[2025-11-11 21:37:58] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893478}
[2025-11-11 21:37:58] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893478}
[2025-11-11 21:37:58] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893478}
[2025-11-11 21:37:58] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893478}
[2025-11-11 21:38:00] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762893480}
[2025-11-11 22:37:48] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897068}
[2025-11-11 22:38:08] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897088}
[2025-11-11 22:38:08] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897088}
[2025-11-11 22:38:08] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897088}
[2025-11-11 22:38:08] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897088}
[2025-11-11 22:38:10] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897090}
[2025-11-11 22:38:11] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897091}
[2025-11-11 22:38:14] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897094}
[2025-11-11 22:38:14] DEBUG: Sistema inicializado | Context: {"version":"1.0.0","environment":"development","timestamp":1762897094}
